representation,model_alias,label,support,baseline_f1,phase7_f1,delta_f1_vs_hybrid
abstract,scibert,math-ph,17,0.17391304347826086,0.23076923076923078,0.05685618729096992
abstract,scibert,hep-ex,11,0.42857142857142855,0.4827586206896552,0.054187192118226646
abstract,scibert,q-bio,15,0.5,0.5517241379310345,0.051724137931034475
abstract,scibert,hep-ph,58,0.7796610169491526,0.8173913043478261,0.03773028739867357
abstract,scibert,gr-qc,40,0.6947368421052632,0.723404255319149,0.028667413213885773
abstract,scibert,econ,13,0.3333333333333333,0.35294117647058826,0.019607843137254943
abstract,scibert,stat,60,0.4954128440366973,0.5137614678899083,0.01834862385321101
abstract,scibert,physics,126,0.6615384615384615,0.6640926640926641,0.002554202554202578
abstract,scibert,math,374,0.8870967741935484,0.8885906040268456,0.0014938298332972666
abstract,scibert,alg-geom,0,0.0,0.0,0.0
abstract,scibert,cond-mat,158,0.8421052631578947,0.8421052631578947,0.0
abstract,scibert,hep-lat,2,0.0,0.0,0.0
abstract,scibert,nlin,9,0.2,0.2,0.0
abstract,scibert,nucl-ex,8,0.0,0.0,0.0
abstract,scibert,nucl-th,15,0.6923076923076923,0.6923076923076923,0.0
abstract,scibert,cs,727,0.908968307484828,0.9081081081081082,-0.0008601993767198834
abstract,scibert,astro-ph,146,0.9370629370629371,0.9305555555555556,-0.0065073815073815044
abstract,scibert,quant-ph,79,0.8481012658227848,0.8414634146341463,-0.006637851188638466
abstract,scibert,hep-th,36,0.5833333333333334,0.5753424657534246,-0.007990867579908745
abstract,scibert,eess,94,0.6268656716417911,0.6,-0.0268656716417911
abstract,scibert,q-fin,12,0.782608695652174,0.7272727272727273,-0.055335968379446654
concatenate,scibert,stat,60,0.4954128440366973,0.5185185185185185,0.023105674481821215
concatenate,scibert,hep-ex,11,0.42857142857142855,0.4444444444444444,0.015873015873015872
concatenate,scibert,cond-mat,158,0.8421052631578947,0.8514851485148515,0.009379885356956774
concatenate,scibert,physics,126,0.6615384615384615,0.6666666666666666,0.00512820512820511
concatenate,scibert,hep-ph,58,0.7796610169491526,0.7833333333333333,0.0036723163841807516
concatenate,scibert,alg-geom,0,0.0,0.0,0.0
concatenate,scibert,gr-qc,40,0.6947368421052632,0.6947368421052632,0.0
concatenate,scibert,hep-lat,2,0.0,0.0,0.0
concatenate,scibert,nlin,9,0.2,0.2,0.0
concatenate,scibert,nucl-ex,8,0.0,0.0,0.0
concatenate,scibert,nucl-th,15,0.6923076923076923,0.6923076923076923,0.0
concatenate,scibert,q-bio,15,0.5,0.5,0.0
