Representation,Embedding_Model,Clustering_Algorithm,K_or_Params,ARI,NMI,Silhouette,Noise_Fraction
abstract,allenai-scibert_scivocab_uncased,kmeans,3,0.4319820013153035,0.4353445230627858,0.1074348911643028,
abstract,allenai-scibert_scivocab_uncased,kmeans,4,0.484034182166977,0.4919617787743549,0.106021262705326,
abstract,allenai-scibert_scivocab_uncased,kmeans,5,0.3545306457192277,0.4554896840775461,0.0749784037470817,
abstract,allenai-scibert_scivocab_uncased,kmeans,6,0.3511818134804945,0.4528544472073715,0.0723864287137985,
abstract,allenai-scibert_scivocab_uncased,kmeans,7,0.3915968363820977,0.4919763851541756,0.0726980194449424,
abstract,allenai-scibert_scivocab_uncased,kmeans,8,0.3588617792466567,0.4887567340541955,0.0698626935482025,
abstract,allenai-scibert_scivocab_uncased,kmeans,9,0.3435396445257389,0.4832983000676315,0.069323793053627,
abstract,allenai-scibert_scivocab_uncased,kmeans,10,0.2802220371251332,0.4671135421703713,0.0559378042817115,
abstract,allenai-scibert_scivocab_uncased,kmeans,11,0.2575983016605602,0.451630949111023,0.0557220354676246,
abstract,allenai-scibert_scivocab_uncased,kmeans,12,0.2542145635016182,0.455908993412267,0.0535234436392784,
abstract,allenai-scibert_scivocab_uncased,gmm,3,0.4319820013153035,0.4353445230627858,0.1074348911643028,
abstract,allenai-scibert_scivocab_uncased,gmm,4,0.4857172815755114,0.4903002691949878,0.1054374724626541,
abstract,allenai-scibert_scivocab_uncased,gmm,5,0.5305051644250719,0.5276617343014365,0.0942445322871208,
abstract,allenai-scibert_scivocab_uncased,gmm,6,0.3542326967122266,0.4546920079841182,0.0723075941205024,
abstract,allenai-scibert_scivocab_uncased,gmm,7,0.3223324674046339,0.4503786870982013,0.0680775046348571,
abstract,allenai-scibert_scivocab_uncased,gmm,8,0.3600818385760773,0.4882821947427905,0.0701212063431739,
abstract,allenai-scibert_scivocab_uncased,gmm,9,0.3393019672690207,0.4702539534874782,0.0622834526002407,
abstract,allenai-scibert_scivocab_uncased,gmm,10,0.2786502786788815,0.4573289990155169,0.0551125295460224,
abstract,allenai-scibert_scivocab_uncased,gmm,11,0.2575983016605602,0.451630949111023,0.0557220354676246,
abstract,allenai-scibert_scivocab_uncased,gmm,12,0.2903044933406155,0.465681178613279,0.058162622153759,
abstract,allenai-scibert_scivocab_uncased,hdbscan,5,0.0015627441452485,0.0061813810094984,0.0225694216787815,0.5776
abstract,allenai-scibert_scivocab_uncased,hdbscan,10,0.6840373760191976,0.691980977815536,0.2521366477012634,0.816
abstract,allenai-scibert_scivocab_uncased,hdbscan,20,0.6672988922256362,0.6613766265572816,0.2559398412704468,0.8034
abstract,allenai-scibert_scivocab_uncased,hdbscan,30,0.6959723170463287,0.6966533519546051,0.2683607935905456,0.8342
abstract,allenai-scibert_scivocab_uncased,hdbscan,50,0.6604677488290135,0.6634878127381613,0.2615308761596679,0.8286
abstract,allenai-scibert_scivocab_uncased,hdbscan,100,0.0,0.0,0.0,1.0
abstract,allenai-specter,kmeans,3,0.3910187852377254,0.4134344696288751,0.0868105739355087,
abstract,allenai-specter,kmeans,4,0.4948941994217952,0.4839875740666249,0.087832935154438,
abstract,allenai-specter,kmeans,5,0.3774643193396826,0.4682120449749974,0.0831950679421424,
abstract,allenai-specter,kmeans,6,0.4131046539104803,0.502114014549059,0.0740640759468078,
abstract,allenai-specter,kmeans,7,0.3363879425147451,0.4851764604134232,0.0694485828280448,
abstract,allenai-specter,kmeans,8,0.3318565485809951,0.4802012915923737,0.0712359994649887,
