,,ARI,ARI,NMI,NMI,Silhouette,Silhouette,Score
,,mean,max,mean,max,mean,max,max
Representation,Embedding_Model,,,,,,,
abstract,allenai-scibert_scivocab_uncased,0.3795,0.696,0.4648,0.6967,0.098,0.2684,0.6275
abstract,allenai-specter,0.3797,0.8724,0.4543,0.7086,0.1041,0.3161,0.6541
abstract,sentence-transformers-all-MiniLM-L6-v2,0.4506,0.9417,0.5483,0.8993,0.0799,0.2424,0.908
abstract,sentence-transformers-all-mpnet-base-v2,0.3634,0.8304,0.4833,0.7967,0.0722,0.1995,0.7873
concatenate,allenai-scibert_scivocab_uncased,0.3752,0.7376,0.4624,0.7272,0.0987,0.2645,0.6581
concatenate,allenai-specter,0.3792,0.8984,0.4558,0.7463,0.1049,0.3287,0.7195
concatenate,sentence-transformers-all-MiniLM-L6-v2,0.4258,0.9394,0.5205,0.8935,0.082,0.2564,0.9009
concatenate,sentence-transformers-all-mpnet-base-v2,0.3646,0.7691,0.476,0.7654,0.0728,0.2055,0.7128
hybrid,allenai-scibert_scivocab_uncased,0.3749,0.7695,0.4672,0.7552,0.0981,0.2682,0.7015
hybrid,allenai-specter,0.3794,0.9069,0.4584,0.811,0.1036,0.3278,0.7887
hybrid,sentence-transformers-all-MiniLM-L6-v2,0.432,0.9333,0.525,0.8865,0.0838,0.2581,0.8898
hybrid,sentence-transformers-all-mpnet-base-v2,0.3443,0.7765,0.4561,0.7698,0.0711,0.2037,0.7229
triples,allenai-scibert_scivocab_uncased,0.2237,0.3822,0.2501,0.3499,0.125,0.3647,0.3602
triples,allenai-specter,0.1689,0.2669,0.2314,0.3236,0.0766,0.2482,0.2835
triples,sentence-transformers-all-MiniLM-L6-v2,0.1884,0.3744,0.243,0.3314,0.0394,0.0505,0.3472
triples,sentence-transformers-all-mpnet-base-v2,0.2133,0.4255,0.2637,0.3578,0.044,0.0579,0.3916
