Clustering_Mode,Classifier_Input,Model,Accuracy,Macro_F1,Weighted_F1,MCC,Cohen_Kappa,Top3_Accuracy,ROC_AUC_OvR
abstract,hybrid,scibert,0.814,0.5314288374487739,0.8089036328968122,0.7698174162365722,0.7695701957631268,0.963,
triples,abstract,scibert,0.8135,0.5314907560837541,0.8071592683671579,0.7689625085651252,0.768752656167128,0.9645,
hybrid,abstract,scibert,0.8115,0.5092096779178755,0.8038682830710222,0.766526229263028,0.7662577210127799,0.963,
triples,concatenate,scibert,0.811,0.5185677582524062,0.8045945257204434,0.7658092591037678,0.7655887366008072,0.965,
hybrid,hybrid,scibert,0.8105,0.5139440717393374,0.8038709674096917,0.7654663897076993,0.7651977898854766,0.9625,
concatenate,concatenate,scibert,0.8085,0.4992923108204299,0.8007034947112438,0.7630819235057033,0.7628109197393644,0.9605,
concatenate,hybrid,scibert,0.808,0.4982415789176054,0.8002421801310775,0.7624194871950324,0.7621622425127559,0.9615,
concatenate,abstract,scibert,0.8075,0.4957600811076926,0.7998060395591537,0.7618698759581528,0.7615913068140301,0.9625,
triples,hybrid,scibert,0.8065,0.5022331468515302,0.7987330315234561,0.7603344509138269,0.7600017860332202,0.963,
hybrid,concatenate,specter,0.8055,0.5039971437559518,0.7953925283968691,0.7588462769008587,0.7585851226375164,0.9545,
abstract,concatenate,specter,0.804,0.5253711104718689,0.7958049814422348,0.7570687046349686,0.7568076034847238,0.9595,
abstract,abstract,specter,0.8025,0.5149452218213966,0.793217677498766,0.7551340425150099,0.7548713120931911,0.9605,
abstract,triples,scibert,0.7445,0.3772652323904304,0.7288159568539521,0.6818048424151423,0.6809735364114704,0.92,
hybrid,triples,scibert,0.7345,0.3589321101204209,0.7159734833873805,0.6685925003057177,0.6677265834064158,0.9005,
concatenate,triples,scibert,0.7295,0.3295338529375354,0.7004924936657102,0.6600503920636575,0.6573940351731569,0.898,
triples,triples,scibert,0.718,0.3481763477030469,0.6975939626942019,0.6459370022149109,0.6447363821124767,0.8905,
