Clustering_Mode,Classifier_Input,Model,Accuracy,Error_Rate,Macro_F1,MCC
triples,triples,scibert,0.718,0.28200000000000003,0.3481763477030469,0.6459370022149109
concatenate,triples,scibert,0.7295,0.27049999999999996,0.3295338529375354,0.6600503920636575
hybrid,triples,scibert,0.7345,0.26549999999999996,0.3589321101204209,0.6685925003057177
abstract,triples,scibert,0.7445,0.25549999999999995,0.3772652323904304,0.6818048424151423
abstract,abstract,specter,0.8025,0.1975,0.5149452218213966,0.7551340425150099
abstract,concatenate,specter,0.804,0.19599999999999995,0.5253711104718689,0.7570687046349686
hybrid,concatenate,specter,0.8055,0.1945,0.5039971437559518,0.7588462769008587
triples,hybrid,scibert,0.8065,0.1935,0.5022331468515302,0.7603344509138269
concatenate,abstract,scibert,0.8075,0.1925,0.4957600811076926,0.7618698759581528
concatenate,hybrid,scibert,0.808,0.19199999999999995,0.4982415789176054,0.7624194871950324
